cluster,topic,problem_key,contest_id,problem_index,problem_name,problem_rating,attempt_users,solve_users,median_submissions_until_ok,median_time_to_first_ac,success_rate,cf_link
C0,binary search,1004-E,1004,E,Sonya and Ice Cream,2400.0,3,1,1.0,0.0,0.3333333333333333,https://codeforces.com/contest/1004/problem/E
C0,binary search,1006-C,1006,C,Three Parts of the Array,1200.0,66,63,2.0,318.0,0.9545454545454546,https://codeforces.com/contest/1006/problem/C
C0,binary search,1007-C,1007,C,Guess two numbers,3000.0,3,3,1.0,0.0,1.0,https://codeforces.com/contest/1007/problem/C
C0,binary search,1008-E,1008,E,Guess two numbers,3000.0,2,1,12.0,47929.0,0.5,https://codeforces.com/contest/1008/problem/E
C0,binary search,101-B,101,B,Buses,1700.0,7,6,1.5,44.5,0.8571428571428571,https://codeforces.com/contest/101/problem/B
C0,binary search,1010-A,1010,A,Fly,1500.0,11,10,1.5,93.5,0.9090909090909091,https://codeforces.com/contest/1010/problem/A
C0,binary search,1010-B,1010,B,Rocket,1800.0,3,3,6.0,808.0,1.0,https://codeforces.com/contest/1010/problem/B
C0,binary search,1011-B,1011,B,Planning The Expedition,1200.0,25,24,1.0,0.0,0.96,https://codeforces.com/contest/1011/problem/B
C0,binary search,1011-C,1011,C,Fly,1500.0,8,6,3.0,1059.5,0.75,https://codeforces.com/contest/1011/problem/C
C0,binary search,1011-D,1011,D,Rocket,1800.0,6,6,2.0,162.5,1.0,https://codeforces.com/contest/1011/problem/D
C0,binary search,1015-E2,1015,E2,Stars Drawing (Hard Edition),1900.0,16,10,1.5,22.5,0.625,https://codeforces.com/contest/1015/problem/E2
C0,binary search,1016-E,1016,E,Rest In The Shades,2400.0,3,3,2.0,53.0,1.0,https://codeforces.com/contest/1016/problem/E
C0,binary search,1019-B,1019,B,The hat,2000.0,4,4,1.5,39.5,1.0,https://codeforces.com/contest/1019/problem/B
C0,binary search,1019-D,1019,D,Large Triangle,2700.0,3,2,3.5,18034.5,0.6666666666666666,https://codeforces.com/contest/1019/problem/D
C0,binary search,102-D,102,D,Buses,1700.0,1,1,3.0,94915572.0,1.0,https://codeforces.com/contest/102/problem/D
C0,binary search,1020-D,1020,D,The hat,2000.0,1,1,1.0,0.0,1.0,https://codeforces.com/contest/1020/problem/D
C0,binary search,1027-F,1027,F,Session in BSU,2400.0,3,2,1.5,57.5,0.6666666666666666,https://codeforces.com/contest/1027/problem/F
C0,binary search,1029-F,1029,F,Multicolored Markers,2000.0,13,11,3.0,949.0,0.8461538461538461,https://codeforces.com/contest/1029/problem/F
C0,binary search,1034-D,1034,D,Intervals of Intervals,3500.0,3,3,7.0,4902.0,1.0,https://codeforces.com/contest/1034/problem/D
C0,binary search,1039-B,1039,B,Subway Pursuit,2100.0,8,8,4.0,659.5,1.0,https://codeforces.com/contest/1039/problem/B
C0,binary search,1041-C,1041,C,Coffee Break,1600.0,24,18,1.0,0.0,0.75,https://codeforces.com/contest/1041/problem/C
C0,binary search,1041-D,1041,D,Glider,1700.0,13,12,1.0,0.0,0.9230769230769231,https://codeforces.com/contest/1041/problem/D
C0,binary search,1042-A,1042,A,Benches,1100.0,27,24,1.0,0.0,0.8888888888888888,https://codeforces.com/contest/1042/problem/A
C0,binary search,1044-A,1044,A,The Tower is Going Home,1700.0,3,3,1.0,0.0,1.0,https://codeforces.com/contest/1044/problem/A
C0,binary search,1051-E,1051,E,Vasya and Big Integers,2600.0,6,5,4.0,1630.0,0.8333333333333334,https://codeforces.com/contest/1051/problem/E
C0,binary search,1055-E,1055,E,Segments on the Line,2500.0,4,3,1.0,0.0,0.75,https://codeforces.com/contest/1055/problem/E
C0,binary search,1056-F,1056,F,Write The Contest,2500.0,2,2,3.0,112962.0,1.0,https://codeforces.com/contest/1056/problem/F
C0,binary search,1059-D,1059,D,Nature Reserve,2200.0,12,8,3.0,3142.0,0.6666666666666666,https://codeforces.com/contest/1059/problem/D
C0,binary search,1059-E,1059,E,Split the Tree,2400.0,3,2,1.5,41.0,0.6666666666666666,https://codeforces.com/contest/1059/problem/E
C0,binary search,1060-C,1060,C,Maximum Subrectangle,1600.0,16,15,1.0,0.0,0.9375,https://codeforces.com/contest/1060/problem/C
C0,binary search,1062-E,1062,E,Company,2300.0,4,4,2.0,441.0,1.0,https://codeforces.com/contest/1062/problem/E
C0,binary search,1063-C,1063,C,"Dwarves, Hats and Extrasensory Abilities",1900.0,9,9,2.0,772.0,1.0,https://codeforces.com/contest/1063/problem/C
C0,binary search,1064-E,1064,E,"Dwarves, Hats and Extrasensory Abilities",1900.0,6,5,8.0,2151.0,0.8333333333333334,https://codeforces.com/contest/1064/problem/E
C0,binary search,1066-D,1066,D,Boxes Packing,1800.0,16,15,1.0,0.0,0.9375,https://codeforces.com/contest/1066/problem/D
C0,binary search,1070-E,1070,E,Getting Deals Done,2100.0,5,3,3.0,249.0,0.6,https://codeforces.com/contest/1070/problem/E
C0,binary search,1071-E,1071,E,Rain Protection,3500.0,1,1,5.0,102996.0,1.0,https://codeforces.com/contest/1071/problem/E
C0,binary search,1073-C,1073,C,Vasya and Robot,1800.0,22,19,2.0,345.0,0.8636363636363636,https://codeforces.com/contest/1073/problem/C
C0,binary search,1073-D,1073,D,Berland Fair,1700.0,27,23,1.0,0.0,0.8518518518518519,https://codeforces.com/contest/1073/problem/D
C0,binary search,1076-C,1076,C,Meme Problem,1300.0,34,34,1.0,0.0,1.0,https://codeforces.com/contest/1076/problem/C
C0,binary search,1077-D,1077,D,Cutting Out,1600.0,28,26,2.0,150.0,0.9285714285714286,https://codeforces.com/contest/1077/problem/D
C0,binary search,1081-E,1081,E,Missing Numbers,1900.0,6,6,1.0,0.0,1.0,https://codeforces.com/contest/1081/problem/E
C0,binary search,1082-E,1082,E,Increasing Frequency,2000.0,16,14,2.0,905.5,0.875,https://codeforces.com/contest/1082/problem/E
C0,binary search,1091-E,1091,E,New Year and the Acquaintance Estimation,2400.0,5,3,3.0,253.0,0.6,https://codeforces.com/contest/1091/problem/E
C0,binary search,1098-C,1098,C,Construct a tree,2400.0,5,4,3.0,22641.0,0.8,https://codeforces.com/contest/1098/problem/C
C0,binary search,1098-E,1098,E,Fedya the Potter,3400.0,2,2,5.5,1280.5,1.0,https://codeforces.com/contest/1098/problem/E
C0,binary search,1099-B,1099,B,Squares and Segments,1100.0,33,31,1.0,0.0,0.9393939393939394,https://codeforces.com/contest/1099/problem/B
C0,binary search,1099-F,1099,F,Cookies,2400.0,2,1,3.0,146.0,0.5,https://codeforces.com/contest/1099/problem/F
C0,binary search,11-E,11,E,"Forward, march!",2800.0,1,1,2.0,170.0,1.0,https://codeforces.com/contest/11/problem/E
C0,binary search,1100-C,1100,C,NN and the Optical Illusion,1200.0,30,29,1.0,0.0,0.9666666666666667,https://codeforces.com/contest/1100/problem/C
C0,binary search,1100-E,1100,E,Andrew and Taxi,2200.0,10,10,2.5,266.0,1.0,https://codeforces.com/contest/1100/problem/E
C0,binary search,1101-F,1101,F,Trucks and Cities,2400.0,2,2,5.5,1179.5,1.0,https://codeforces.com/contest/1101/problem/F
C0,binary search,1102-F,1102,F,Elongated Matrix,2000.0,5,5,1.0,0.0,1.0,https://codeforces.com/contest/1102/problem/F
C0,binary search,1103-B,1103,B,Game with modulo,2000.0,4,4,1.0,0.0,1.0,https://codeforces.com/contest/1103/problem/B
C0,binary search,1104-D,1104,D,Game with modulo,2000.0,4,3,1.0,0.0,0.75,https://codeforces.com/contest/1104/problem/D
C0,binary search,1107-G,1107,G,Vasya and Maximum Profit,2400.0,3,2,8.0,4329.0,0.6666666666666666,https://codeforces.com/contest/1107/problem/G
C0,binary search,1108-F,1108,F,MST Unification,2100.0,14,10,1.5,106.0,0.7142857142857143,https://codeforces.com/contest/1108/problem/F
C0,binary search,111-B,111,B,Petya and Divisors,1900.0,11,10,1.0,0.0,0.9090909090909091,https://codeforces.com/contest/111/problem/B
C0,binary search,1111-C,1111,C,Creative Snap,1700.0,25,21,2.0,320.0,0.84,https://codeforces.com/contest/1111/problem/C
C0,binary search,1114-E,1114,E,Arithmetic Progression,2200.0,10,9,5.0,3179.0,0.9,https://codeforces.com/contest/1114/problem/E
C0,binary search,1117-C,1117,C,Magic Ship,1900.0,23,19,2.0,103.0,0.8260869565217391,https://codeforces.com/contest/1117/problem/C
C0,binary search,1118-D2,1118,D2,Coffee and Coursework (Hard Version),1700.0,21,21,1.0,0.0,1.0,https://codeforces.com/contest/1118/problem/D2
C0,binary search,1119-B,1119,B,Alyona and a Narrow Fridge,1300.0,47,47,1.0,0.0,1.0,https://codeforces.com/contest/1119/problem/B
C0,binary search,1119-D,1119,D,Frets On Fire,1800.0,18,17,1.0,0.0,0.9444444444444444,https://codeforces.com/contest/1119/problem/D
C0,binary search,1129-C,1129,C,Morse Code,2400.0,1,0,,,0.0,https://codeforces.com/contest/1129/problem/C
C0,binary search,1129-E,1129,E,Legendary Tree,3100.0,1,1,1.0,0.0,1.0,https://codeforces.com/contest/1129/problem/E
C0,binary search,1131-C,1131,C,Birthday,1200.0,49,46,1.0,0.0,0.9387755102040817,https://codeforces.com/contest/1131/problem/C
C0,binary search,1132-D,1132,D,Stressful Training,2300.0,9,5,2.0,397.0,0.5555555555555556,https://codeforces.com/contest/1132/problem/D
C0,binary search,1136-E,1136,E,Nastya Hasn't Written a Legend,2200.0,2,2,1.5,21.5,1.0,https://codeforces.com/contest/1136/problem/E
C0,binary search,1138-A,1138,A,Sushi for Two,900.0,38,32,1.0,0.0,0.8421052631578947,https://codeforces.com/contest/1138/problem/A
C0,binary search,1141-G,1141,G,Privatization of Roads in Treeland,1900.0,3,3,1.0,0.0,1.0,https://codeforces.com/contest/1141/problem/G
C0,binary search,1148-B,1148,B,Born This Way,1600.0,36,26,1.0,0.0,0.7222222222222222,https://codeforces.com/contest/1148/problem/B
C0,binary search,1153-D,1153,D,Serval and Rooted Tree,1900.0,17,14,1.0,0.0,0.8235294117647058,https://codeforces.com/contest/1153/problem/D
C0,binary search,1153-E,1153,E,Serval and Snake,2200.0,5,5,2.0,678.0,1.0,https://codeforces.com/contest/1153/problem/E
C0,binary search,1156-C,1156,C,Match Points,2000.0,24,18,2.5,356.5,0.75,https://codeforces.com/contest/1156/problem/C
C0,binary search,1157-E,1157,E,Minimum Array,1700.0,28,24,1.0,0.0,0.8571428571428571,https://codeforces.com/contest/1157/problem/E
C0,binary search,1158-A,1158,A,The Party and Sweets,1500.0,11,10,1.5,19.0,0.9090909090909091,https://codeforces.com/contest/1158/problem/A
C0,binary search,1165-F1,1165,F1,Microtransactions (easy version),2000.0,5,5,1.0,0.0,1.0,https://codeforces.com/contest/1165/problem/F1
C0,binary search,1165-F2,1165,F2,Microtransactions (hard version),2000.0,6,6,1.5,44.0,1.0,https://codeforces.com/contest/1165/problem/F2
C0,binary search,1166-C,1166,C,A Tale of Two Lands,1500.0,47,39,2.0,145.0,0.8297872340425532,https://codeforces.com/contest/1166/problem/C
C0,binary search,1166-D,1166,D,Cute Sequences,2200.0,11,9,3.0,108.0,0.8181818181818182,https://codeforces.com/contest/1166/problem/D
C0,binary search,1167-E,1167,E,Range Deleting,2100.0,11,9,3.0,2036.0,0.8181818181818182,https://codeforces.com/contest/1167/problem/E
C0,binary search,1168-A,1168,A,Increasing by Modulo,1700.0,16,13,1.0,0.0,0.8125,https://codeforces.com/contest/1168/problem/A
C0,binary search,1169-C,1169,C,Increasing by Modulo,1700.0,14,10,1.0,0.0,0.7142857142857143,https://codeforces.com/contest/1169/problem/C
C0,binary search,1173-C,1173,C,Nauuo and Cards,1800.0,10,7,1.0,0.0,0.7,https://codeforces.com/contest/1173/problem/C
C0,binary search,1175-C,1175,C,Electrification,1600.0,31,23,1.0,0.0,0.7419354838709677,https://codeforces.com/contest/1175/problem/C
C0,binary search,1177-B,1177,B,Digits Sequence (Hard Edition),1800.0,9,6,1.0,0.0,0.6666666666666666,https://codeforces.com/contest/1177/problem/B
C0,binary search,1178-H,1178,H,Stock Exchange,3500.0,5,5,4.0,1010.0,1.0,https://codeforces.com/contest/1178/problem/H
C0,binary search,1179-C,1179,C,Serge and Dining Room,2200.0,11,11,1.0,0.0,1.0,https://codeforces.com/contest/1179/problem/C
C0,binary search,1181-D,1181,D,Irrigation,2200.0,11,9,2.0,1752.0,0.8181818181818182,https://codeforces.com/contest/1181/problem/D
C0,binary search,1183-C,1183,C,Computer Game,1400.0,49,43,1.0,0.0,0.8775510204081632,https://codeforces.com/contest/1183/problem/C
C0,binary search,1184-B1,1184,B1,The Doctor Meets Vader (Easy),1400.0,17,16,1.0,0.0,0.9411764705882353,https://codeforces.com/contest/1184/problem/B1
C0,binary search,1187-B,1187,B,Letters Shop,1300.0,50,44,1.0,0.0,0.88,https://codeforces.com/contest/1187/problem/B
C0,binary search,1190-E,1190,E,Tokitsukaze and Explosion,3100.0,4,4,2.5,45351.5,1.0,https://codeforces.com/contest/1190/problem/E
C0,binary search,1195-B,1195,B,Sport Mafia,1000.0,45,43,1.0,0.0,0.9555555555555556,https://codeforces.com/contest/1195/problem/B
C0,binary search,1197-E,1197,E,Culture Code,2300.0,8,8,1.0,0.0,1.0,https://codeforces.com/contest/1197/problem/E
C0,binary search,1198-B,1198,B,Welfare State,1600.0,18,15,1.0,0.0,0.8333333333333334,https://codeforces.com/contest/1198/problem/B
C0,binary search,1201-C,1201,C,Maximum Median,1400.0,81,69,2.0,80.0,0.8518518518518519,https://codeforces.com/contest/1201/problem/C
C0,binary search,1201-D,1201,D,Treasure Hunting,2100.0,10,8,1.5,278.5,0.8,https://codeforces.com/contest/1201/problem/D
C0,binary search,1202-F,1202,F,You Are Given Some Letters...,2700.0,3,3,2.0,211.0,1.0,https://codeforces.com/contest/1202/problem/F
C0,binary search,1203-D2,1203,D2,Remove the Substring (hard version),1700.0,24,19,1.0,0.0,0.7916666666666666,https://codeforces.com/contest/1203/problem/D2
C0,binary search,1208-B,1208,B,Uniqueness,1500.0,43,31,2.0,191.0,0.7209302325581395,https://codeforces.com/contest/1208/problem/B
C0,binary search,1208-D,1208,D,Restore Permutation,1900.0,19,17,1.0,0.0,0.8947368421052632,https://codeforces.com/contest/1208/problem/D
C0,binary search,121-D,121,D,Lucky Segments,2500.0,2,1,4.0,8879.0,0.5,https://codeforces.com/contest/121/problem/D
C0,binary search,1216-E1,1216,E1,Numerical Sequence (easy version),1900.0,11,11,1.0,0.0,1.0,https://codeforces.com/contest/1216/problem/E1
C0,binary search,1216-E2,1216,E2,Numerical Sequence (hard version),2200.0,9,7,1.0,0.0,0.7777777777777778,https://codeforces.com/contest/1216/problem/E2
C0,binary search,1217-A,1217,A,Creating a Character,1300.0,61,52,3.0,1025.0,0.8524590163934426,https://codeforces.com/contest/1217/problem/A
C0,binary search,1217-C,1217,C,The Number Of Good Substrings,1700.0,29,27,1.0,0.0,0.9310344827586207,https://codeforces.com/contest/1217/problem/C
C0,binary search,1220-F,1220,F,Gardener Alex,2700.0,3,3,3.0,553.0,1.0,https://codeforces.com/contest/1220/problem/F
C0,binary search,1221-C,1221,C,Perfect Team,1200.0,64,59,1.0,0.0,0.921875,https://codeforces.com/contest/1221/problem/C
C0,binary search,1221-F,1221,F,Choose a Square,2400.0,2,2,3.0,3090.0,1.0,https://codeforces.com/contest/1221/problem/F
C0,binary search,1223-C,1223,C,Save the Nature,1600.0,22,19,1.0,0.0,0.8636363636363636,https://codeforces.com/contest/1223/problem/C
C0,binary search,1225-E,1225,E,Rock Is Push,2200.0,2,2,2.0,8158.5,1.0,https://codeforces.com/contest/1225/problem/E
C0,binary search,1227-E,1227,E,Arson In Berland Forest,2200.0,2,2,1.0,0.0,1.0,https://codeforces.com/contest/1227/problem/E
C0,binary search,1229-B,1229,B,Kamil and Making a Stream,2000.0,6,6,2.5,490.5,1.0,https://codeforces.com/contest/1229/problem/B
C0,binary search,1236-E,1236,E,Alice and the Unfair Game,2500.0,1,1,4.0,645.0,1.0,https://codeforces.com/contest/1236/problem/E
C0,binary search,1237-C2,1237,C2,Balanced Removals (Harder),1900.0,21,18,2.0,338.5,0.8571428571428571,https://codeforces.com/contest/1237/problem/C2
C0,binary search,1237-D,1237,D,Balanced Playlist,2000.0,19,16,1.0,0.0,0.8421052631578947,https://codeforces.com/contest/1237/problem/D
C0,binary search,1238-D,1238,D,AB-string,1900.0,22,22,1.5,24.0,1.0,https://codeforces.com/contest/1238/problem/D
C0,binary search,1240-A,1240,A,Save the Nature,1600.0,9,7,2.0,265.0,0.7777777777777778,https://codeforces.com/contest/1240/problem/A
