user_id,rating,max_rating,rank,max_rank
Ravinder2000,1078,1133,newbie,newbie
sivapavan1998,384,384,newbie,newbie
noelkawn,1413,1589,specialist,specialist
hoangle10tin,1453,1675,specialist,expert
R_K_RATHORE,764,764,newbie,newbie
manhvinh,1258,1258,pupil,pupil
dhruvsavani008,384,384,newbie,newbie
_ud,1377,1377,pupil,pupil
Vibhum,1357,1357,pupil,pupil
Sarfarozkhuja,923,1126,newbie,newbie
Shubhk16,859,859,newbie,newbie
ct17,1900,1900,candidate master,candidate master
romario_wijaya,1427,1427,specialist,specialist
ratan31,377,377,newbie,newbie
shrawank22,1068,1068,newbie,newbie
throwaway20,1512,1512,specialist,specialist
abhishek46tiwari,1129,1204,newbie,pupil
ILoveNoodles666,1208,1208,pupil,pupil
milki,1449,1604,specialist,expert
semyongromov676,351,351,newbie,newbie
witherspoon824221,368,368,newbie,newbie
G_Cesario,985,1369,newbie,pupil
sinchan1509,595,595,newbie,newbie
efendi,1501,1550,specialist,specialist
18007721992,871,871,newbie,newbie
RajkumarShaw58771,364,364,newbie,newbie
The-OneaboveAll,1613,1613,expert,expert
.why_login.,1140,1208,newbie,pupil
14bird,1989,1989,candidate master,candidate master
neuron.spike,1202,1424,pupil,specialist
cd10101,872,872,newbie,newbie
edorado93,1463,1525,specialist,specialist
c1ampy,1462,1560,specialist,specialist
lvettk,1161,1239,newbie,pupil
Rp12138,1593,1593,specialist,specialist
PaulAtreides,760,760,newbie,newbie
shashwatdubey1729,880,928,newbie,newbie
khushiupadhyay,342,342,newbie,newbie
LiyuQiao051101,950,1131,newbie,newbie
biharibacha098,642,642,newbie,newbie
Sarah_Wang2,1469,1554,specialist,specialist
billfeng,419,419,newbie,newbie
R_E,1465,1465,specialist,specialist
Prajwal,1305,1434,pupil,specialist
Guna_007,1275,1459,pupil,specialist
DaoNam,356,356,newbie,newbie
Devv11,1304,1304,pupil,pupil
Rittishg,593,593,newbie,newbie
Cation_coder6,629,629,newbie,newbie
ag333nt,445,445,newbie,newbie
PekinskaPatka,1209,1209,pupil,pupil
Arawal123,347,347,newbie,newbie
bweah,2388,2388,international master,international master
Aakashagr22,984,1005,newbie,newbie
elitecoders014,912,926,newbie,newbie
Poluvasyan,1193,1370,newbie,pupil
pyzmtqlauhzozdlxrp,506,506,newbie,newbie
Extraordinary_,2035,2035,candidate master,candidate master
Codersunny143,438,896,newbie,newbie
aryansaini4001,362,362,newbie,newbie
Max4740,1043,1105,newbie,newbie
argone,1399,1399,pupil,pupil
Stitch_8,581,581,newbie,newbie
ashutosh_yadav_,363,363,newbie,newbie
malik22,587,587,newbie,newbie
sannilla_pavan_kumar,881,881,newbie,newbie
xbdx_36,1235,1235,pupil,pupil
clmsuftayy,589,589,newbie,newbie
ismail-eub,861,864,newbie,newbie
ShanChaki,1125,1178,newbie,newbie
ExpertBy31May2022,895,963,newbie,newbie
jaimatadihpan,720,720,newbie,newbie
seweso8620,1009,1009,newbie,newbie
21r01a7205,906,906,newbie,newbie
I_Love_Khanh_Ly,1275,1275,pupil,pupil
akash13s,1299,1385,pupil,pupil
walkerkashyap,981,1377,newbie,pupil
nandu_doodhwala,358,358,newbie,newbie
TheSky233,1427,1427,specialist,specialist
arif0626,775,921,newbie,newbie
Otono_Phantom,1209,1374,pupil,pupil
KAAL_79,957,1061,newbie,newbie
bench225,1830,1830,expert,expert
rejwana_neub,1370,1370,pupil,pupil
Lonewolf08,812,812,newbie,newbie
IIsomeoneII,1419,1419,specialist,specialist
Mr.Shua,1686,1686,expert,expert
ELKhateeb,766,802,newbie,newbie
Accepted_plz,1175,1238,newbie,pupil
ahmad1024,1333,1408,pupil,specialist
pranavach,1228,1371,pupil,pupil
lakshmisrujana,1399,1399,pupil,pupil
thesatiricwriter,351,351,newbie,newbie
dev69,1179,1387,newbie,pupil
sanders616866,819,819,newbie,newbie
cfycfy,401,401,newbie,newbie
eshsape,1281,1340,pupil,pupil
Samiya123,627,827,newbie,newbie
gwei,433,433,newbie,newbie
anish9852,1146,1400,newbie,specialist
manobalsinghbagady,383,383,newbie,newbie
gojoAraAra,875,1068,newbie,newbie
hitMaster,876,876,newbie,newbie
ajay_mudettula,826,826,newbie,newbie
MAhsanAli,1123,1218,newbie,pupil
Harsha0703B,711,711,newbie,newbie
thrilllight,992,992,newbie,newbie
lihuan,650,650,newbie,newbie
riyaz489,794,794,newbie,newbie
mehull.26,1416,1416,specialist,specialist
Sathwik_varma,846,925,newbie,newbie
pupsikkk,1258,1416,pupil,specialist
madhuthoram03,1497,1497,specialist,specialist
karamalhawat,1072,1369,newbie,pupil
surajkumar52,778,778,newbie,newbie
Wenzhongxing,1330,1370,pupil,pupil
aayushg205,1163,1163,newbie,newbie
ZH.,1180,1443,newbie,specialist
Gunchaa,1024,1375,newbie,pupil
ghbcreed,390,390,newbie,newbie
venkey1729,363,363,newbie,newbie
huashui_xiaoming,1295,1430,pupil,specialist
bs0mkar,981,981,newbie,newbie
Scherzophile,1351,1435,pupil,specialist
specialist3004,1378,1378,pupil,pupil
letter_,1240,1288,pupil,pupil
medo0o0o,1054,1104,newbie,newbie
ShawnDong,1830,1830,expert,expert
adityamandke,464,464,newbie,newbie
prj22,1287,1462,pupil,specialist
7esham_,1066,1286,newbie,pupil
vault_boy04,1056,1385,newbie,pupil
BITWARRIOR69,934,979,newbie,newbie
hasibulkabir,388,388,newbie,newbie
nemesh003,435,435,newbie,newbie
Caproner,1997,2059,candidate master,candidate master
Phantom__Phoenix,662,662,newbie,newbie
Anonyms__,430,430,newbie,newbie
tusindak,365,365,newbie,newbie
Karia-Veritas,1319,1427,pupil,specialist
mayank_jain,1457,1457,specialist,specialist
bytewizrd,737,737,newbie,newbie
Bubble_sort,1357,1416,pupil,specialist
epokjykfck,388,388,newbie,newbie
kit25csebkameshm,775,775,newbie,newbie
dattu0124,1124,1371,newbie,pupil
A__2,717,717,newbie,newbie
